"Stocks","Sector","Avg_Return","Volatility","Sharpe"
"AAPL","Tech",0.00119059438944317,0.0242626446819268,0.0490710887065846
"MSFT","Tech",0.000577578022722057,0.018901151441497,0.0305578220728924
"NVDA","Tech",0.00185710807983281,0.0371958379049954,0.0499278463514165
"BP","Energy",0.000285620269100857,0.0188102296085728,0.0151843052979367
"SHEL","Energy",0.000380564698187155,0.0179517382594228,0.0211993230230727
"XOM","Energy",0.000433333201793806,0.0165150545797996,0.0262386781527103
"HSBC","Finance",0.00035743391703699,0.0168812039008566,0.0211734849680272
"BCS","Finance",0.000583027460985682,0.0302794834693086,0.0192548681214011
"JPM","Finance",0.000672843389662392,0.0232974713118515,0.0288805330267803
"GS","Finance",0.000659204515069113,0.0225295796319459,0.0292595124204799
"JNJ","Healthcare",0.000406224653255295,0.0120546979262643,0.0336984514867211
"PFE","Healthcare",0.000242153865091673,0.0158730667885469,0.0152556445655731
"UNH","Healthcare",0.000834012853106613,0.0199692872266641,0.0417647782637426
